{'GVBG': 1, 'GVBD': 0, 'CDAN': False, 'use_gpu': True, 'gpu': '0', 'test_person': 15, 'num_iterations': 10000, 'print_num': 10, 'shuffle': True, 'test_interval': 100, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'san', 'batch_size': 64, 'out_file': <_io.TextIOWrapper name='san\\log.txt' mode='w' encoding='cp936'>, 'prep': {'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_params': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'network': {'params': {'class_num': 3}}}iter: 00000, transferloss: 0.69553, classifier_loss: 1.10301, mean entropy:0.33347, gvbg:0.04231, gvbd:0.08655
iter: 00010, transferloss: 0.69498, classifier_loss: 1.07866, mean entropy:0.33402, gvbg:0.01236, gvbd:0.07533
iter: 00020, transferloss: 0.68870, classifier_loss: 1.08650, mean entropy:0.33419, gvbg:0.01041, gvbd:0.07465
iter: 00030, transferloss: 0.70047, classifier_loss: 1.08296, mean entropy:0.33400, gvbg:0.01259, gvbd:0.08541
iter: 00040, transferloss: 0.69721, classifier_loss: 1.09833, mean entropy:0.33427, gvbg:0.00959, gvbd:0.09037
iter: 00050, transferloss: 0.69751, classifier_loss: 1.08029, mean entropy:0.33397, gvbg:0.00833, gvbd:0.08447
iter: 00060, transferloss: 0.68868, classifier_loss: 1.06700, mean entropy:0.33492, gvbg:0.01053, gvbd:0.08075
iter: 00070, transferloss: 0.69077, classifier_loss: 1.06448, mean entropy:0.33414, gvbg:0.01149, gvbd:0.07815
iter: 00080, transferloss: 0.68854, classifier_loss: 1.06774, mean entropy:0.33419, gvbg:0.01064, gvbd:0.07685
iter: 00090, transferloss: 0.69040, classifier_loss: 1.06715, mean entropy:0.33434, gvbg:0.00895, gvbd:0.08939
iter: 00100, transferloss: 0.68682, classifier_loss: 1.06534, mean entropy:0.33504, gvbg:0.01170, gvbd:0.08855
iter: 00110, transferloss: 0.68909, classifier_loss: 1.06775, mean entropy:0.33681, gvbg:0.01398, gvbd:0.07743
iter: 00120, transferloss: 0.68607, classifier_loss: 1.03384, mean entropy:0.33460, gvbg:0.01122, gvbd:0.08534
iter: 00130, transferloss: 0.69489, classifier_loss: 1.05136, mean entropy:0.33512, gvbg:0.01173, gvbd:0.08742
iter: 00140, transferloss: 0.69917, classifier_loss: 1.02086, mean entropy:0.33528, gvbg:0.01195, gvbd:0.08364
iter: 00150, transferloss: 0.67361, classifier_loss: 1.04237, mean entropy:0.33716, gvbg:0.01394, gvbd:0.08656
iter: 00160, transferloss: 0.68542, classifier_loss: 1.02291, mean entropy:0.33618, gvbg:0.01385, gvbd:0.08250
iter: 00170, transferloss: 0.68619, classifier_loss: 1.01138, mean entropy:0.33655, gvbg:0.01288, gvbd:0.08466
iter: 00180, transferloss: 0.69096, classifier_loss: 0.96387, mean entropy:0.34297, gvbg:0.01679, gvbd:0.09006
iter: 00190, transferloss: 0.69057, classifier_loss: 0.94568, mean entropy:0.34030, gvbg:0.01608, gvbd:0.08269
